Data,Quantidade,CanalPrimario,CanalSecundario,Total,Media
2022-03-02,45134701,,,35066138.68,776.92
2025-12-10,248593378,247426795.0,1166583.0,150870828.42,606.9
2025-03-29,189956090,189825637.0,130453.0,29605543.15,155.85
2021-06-04,24945880,,,17229599.27,690.68
2025-10-25,206815814,206560568.0,255246.0,29496438.75,142.62
2022-10-28,75938264,,,40180577.53,529.12
2024-11-06,192339637,191265582.0,1074055.0,92244283.76,479.59
2025-07-11,206163128,205799290.0,363838.0,98986041.46,480.13
2024-10-02,177004363,176268828.0,735535.0,78683919.77,444.53
2025-03-27,172812802,172545630.0,267172.0,78051153.06,451.65
2021-04-12,15051225,,,12773852.85,848.69
2024-06-22,154998675,154923827.0,74848.0,21195988.04,136.75
2023-05-04,94999804,,,46866174.6,493.33
2023-12-15,161255076,160830019.0,425057.0,80286754.27,497.89
2024-02-09,162453813,162136156.0,317657.0,79297246.77,488.12
2024-03-06,178686383,178059365.0,627018.0,79285823.19,443.71
2021-11-13,31324256,,,6593616.35,210.5
2021-09-29,29911830,,,18902824.79,631.95
2025-10-17,215247805,214793478.0,454327.0,103779114.64,482.14
2021-02-03,7907948,,,6760698.37,854.92
2022-06-16,41816585,,,9179671.77,219.52
2023-12-22,165824140,165579549.0,244591.0,77993801.44,470.34
2025-02-22,179295756,179195565.0,100191.0,24769110.43,138.15
2020-12-23,6050946,,,5792354.02,957.26
2023-05-25,88347248,,,41293956.26,467.41
2022-02-21,44424231,,,29157131.75,656.33
2022-08-24,57328581,,,28159734.45,491.2
2025-01-25,166573000,166458230.0,114770.0,23508097.97,141.13
2025-11-03,219255014,218564485.0,690529.0,134706095.06,614.38
2024-05-21,149412204,149258154.0,154050.0,62426691.59,417.82
2025-01-28,155059559,154830581.0,228978.0,70470085.59,454.47
2023-09-16,110242873,,,17304535.1,156.97
2022-12-07,96629476,,,47159548.04,488.05
2022-12-21,94011903,,,43151400.83,459.0
2021-08-31,33364622,,,23096470.05,692.24
2021-04-21,10266044,,,3238384.3,315.45
2021-02-12,10596529,,,9326962.8,880.19
2021-05-22,15271229,,,3391411.51,222.08
2023-07-30,69045985,,,8375837.43,121.31
2024-12-13,206163050,205758024.0,405026.0,95619805.94,463.81
2023-11-21,129892578,129717621.0,174957.0,63864937.73,491.68
2024-12-29,129748340,129672970.0,75370.0,16331746.06,125.87
2022-12-11,49773879,,,7519138.86,151.07
2022-07-20,65795159,,,36698336.54,557.77
2022-05-12,51935322,,,27218762.78,524.09
2025-05-14,180051975,179313324.0,738651.0,85756348.72,476.29
2021-06-25,24027044,,,15386596.94,640.39
2025-12-01,247170786,246265416.0,905370.0,156916429.9,634.85
2021-02-20,6831039,,,2026088.2,296.6
2021-10-15,39098089,,,25879343.05,661.91
2024-10-01,181353338,180872621.0,480717.0,96672847.6,533.06
2024-06-27,147351656,147159933.0,191723.0,70224189.8,476.58
2025-07-19,197128380,196994036.0,134344.0,28609667.77,145.13
2021-05-12,18012986,,,11750224.13,652.32
2025-07-17,181881844,181541535.0,340309.0,86374774.68,474.89
2023-02-23,76095864,,,38693116.9,508.48
2025-11-28,297387610,296031742.0,1355868.0,166157564.7,558.72
2022-04-26,46230402,,,25431810.01,550.11
2024-03-19,132740620,132602143.0,138477.0,57150361.88,430.54
2023-07-21,112198113,,,46333060.41,412.96
2022-03-30,46265663,,,29158235.11,630.23
2022-02-09,45668993,,,23256289.32,509.24
2020-11-10,135444,,,55316.78,408.41
2022-11-01,74052204,,,42842348.03,578.54
2025-03-25,175686877,175364171.0,322706.0,86505616.88,492.39
2022-07-21,58803547,,,28909987.62,491.64
2021-10-07,42036135,,,23251313.81,553.13
2025-03-07,244988905,244357901.0,631004.0,121455106.45,495.76
2021-10-12,20381587,,,4550892.77,223.28
2024-06-24,136971895,136783621.0,188274.0,70520394.62,514.85
2022-03-04,58531279,,,36303942.61,620.25
2025-04-08,205328356,205016996.0,311360.0,89103275.88,433.96
2021-03-17,10592852,,,7777513.68,734.22
2025-10-26,150312755,150139652.0,173103.0,16649236.94,110.76
2025-02-04,176295536,175969233.0,326303.0,81742451.72,463.67
2021-04-13,15127115,,,10545154.46,697.1
2025-03-31,186848623,186236955.0,611668.0,125198483.18,670.05
2021-11-11,37608436,,,20898298.15,555.68
2023-07-31,109779799,,,69217511.56,630.51
2023-08-17,100933502,,,41183255.56,408.02
2025-01-11,167742163,167625230.0,116933.0,25075217.68,149.49
2024-02-15,143322849,142878978.0,443871.0,76163801.72,531.41
2023-11-12,88751695,88701270.0,50425.0,10299495.2,116.05
2024-04-27,139431540,139370696.0,60844.0,19932731.11,142.96
2022-12-24,72011027,,,12945575.08,179.77
2022-10-24,63834768,,,35933916.03,562.92
2022-08-25,58042189,,,32177435.84,554.38
2021-06-26,18269456,,,3888303.8,212.83
2024-03-14,134220269,134068241.0,152028.0,54243904.24,404.14
2022-09-10,66005619,,,13540846.45,205.15
2024-04-13,143838092,143773862.0,64230.0,21856533.42,151.95
2023-03-23,79136730,,,33966375.34,429.21
2022-07-18,54571817,,,34106222.01,624.98
2021-04-22,14908610,,,11928126.01,800.08
2023-11-22,124728509,124354522.0,373987.0,53082559.16,425.58
2022-02-02,42401771,,,22224993.65,524.15
2025-04-12,187683465,187566651.0,116814.0,27506570.85,146.56
2025-08-20,224796246,223286672.0,1509574.0,132289930.54,588.49
2025-04-25,196405353,196016038.0,389315.0,100444582.73,511.41
2022-11-02,47202061,,,9716312.39,205.85
2024-02-08,153345538,153130213.0,215325.0,61064800.78,398.22
2022-01-25,36627652,,,21037279.48,574.36
2025-02-01,179919332,179668703.0,250629.0,30872678.62,171.59
2024-06-19,152343611,151784790.0,558821.0,63990182.64,420.04
2022-06-08,66432895,,,31372195.53,472.24
2022-01-23,20880710,,,3108924.54,148.89
2023-06-26,89059447,,,49828946.26,559.5
2024-12-10,206067940,205431054.0,636886.0,112359361.4,545.25
2024-11-13,163110712,162352865.0,757847.0,76489817.78,468.94
2024-11-04,169748472,169339690.0,408782.0,96238618.49,566.95
2022-11-23,71953418,,,32304498.56,448.96
2022-06-02,58253546,,,29757569.96,510.83
2021-11-12,41448985,,,24858698.77,599.74
2023-12-21,160743580,160533339.0,210241.0,67921408.25,422.55
2022-06-19,31831739,,,4583450.21,143.99
2023-12-26,120373381,120213416.0,159965.0,70069376.11,582.1
2024-01-06,140869056,140748668.0,120388.0,25182129.03,178.76
2023-03-19,53000387,,,6534507.94,123.29
2022-11-03,69818177,,,38801326.05,555.75
2021-03-18,10265969,,,7739368.65,753.89
2021-03-11,11232254,,,8786136.61,782.22
2022-08-22,60899571,,,38319304.82,629.22
2024-07-29,138429641,138246798.0,182843.0,78267846.55,565.4
2025-07-12,189886840,189748122.0,138718.0,28054153.98,147.74
2023-06-04,63327238,,,8456409.1,133.54
2021-05-15,14569585,,,3723907.31,255.59
2021-09-10,38148657,,,26355645.27,690.87
2020-11-22,889213,,,268648.17,302.12
2024-03-27,140965019,140433952.0,531067.0,64458917.55,457.27
2024-10-09,175510667,174717781.0,792886.0,77159609.3,439.63
2021-07-31,23171414,,,5564714.86,240.15
2023-12-27,126324841,125646299.0,678542.0,64722291.25,512.35
2023-09-09,113422290,,,18577311.18,163.79
2024-07-24,148148663,147614084.0,534579.0,60815990.65,410.51
2021-02-17,8801944,,,9352777.75,1062.58
2024-09-08,132615406,132511389.0,104017.0,16801068.88,126.69
2022-11-05,74150523,,,15620311.54,210.66
2025-11-24,199367805,198880416.0,487389.0,118364629.27,593.7
2024-01-31,141883015,141308537.0,574478.0,71116615.96,501.23
2025-04-29,176031088,175763251.0,267837.0,89372049.88,507.71
2024-01-09,138127440,137953902.0,173538.0,58449370.53,423.16
2021-06-23,21804745,,,12565814.37,576.29
2021-07-23,26589708,,,16886408.06,635.07
2023-12-01,166499568,166107696.0,391872.0,79510740.39,477.54
2025-09-23,190914196,190613275.0,300921.0,87628700.64,459.0
2022-05-15,31053374,,,4904936.68,157.95
2020-11-20,1957506,,,1824187.41,931.89
2021-12-28,36065852,,,21154448.08,586.55
2024-09-28,161520983,161434793.0,86190.0,24753209.63,153.25
2025-08-17,149441500,149343899.0,97601.0,17188963.48,115.02
2020-12-25,1622897,,,590867.68,364.08
2022-12-06,96888385,,,50313198.79,519.29
2023-01-17,70539864,,,34695857.46,491.86
2023-08-12,104283324,,,16280946.6,156.12
2021-11-14,18822531,,,2985613.68,158.62
2021-11-15,21811133,,,4788323.82,219.54
2021-05-26,18642985,,,11330748.69,607.78
2021-04-07,19398892,,,13077243.77,674.12
2022-12-02,87582534,,,39018234.85,445.5
2022-02-08,47734622,,,25163312.69,527.15
2024-06-01,153559591,152884960.0,674631.0,26024261.13,169.47
2025-01-05,124810434,124617902.0,192532.0,16980661.23,136.05
2024-01-12,135755651,135572925.0,182726.0,57052116.73,420.26
2021-06-02,23593904,,,15803478.49,669.81
2022-01-05,41059065,,,24925708.63,607.07
2025-05-31,203183834,203025187.0,158647.0,34017615.29,167.42
2024-12-06,250558457,249868850.0,689607.0,124290392.91,496.05
2022-11-29,70248480,,,37004077.05,526.76
2023-02-22,71951680,,,44399732.46,617.08
2022-03-27,24528952,,,3560507.3,145.16
2025-11-04,215841017,215338093.0,502924.0,104528028.51,484.28
2023-04-01,86576257,,,16994015.83,196.29
2022-03-09,51895561,,,27589246.33,531.63
2024-10-11,181982242,181723586.0,258656.0,81650338.89,448.67
2024-05-23,143204645,143064557.0,140088.0,55294355.88,386.12
2021-04-25,6751665,,,1509719.48,223.61
2021-05-21,21666709,,,13242096.91,611.17
2024-11-30,204027010,203743475.0,283535.0,35220842.75,172.63
2023-12-28,138088289,137786677.0,301612.0,79855361.35,578.29
2024-07-26,160607966,160414034.0,193932.0,70800774.05,440.83
2021-07-04,12791693,,,2613001.64,204.27
2022-11-20,45979233,,,6501699.45,141.41
2025-09-10,225512586,224649576.0,863010.0,125378287.05,555.97
2023-04-22,76700955,,,10823878.57,141.12
2024-06-23,110507306,110456860.0,50446.0,11696345.59,105.84
2021-01-04,5935544,,,7772210.33,1309.44
2023-06-02,110090252,,,51471551.21,467.54
2021-08-26,27088735,,,16007378.25,590.92
2023-01-19,72572888,,,33382247.75,459.98
2024-03-13,136692678,136269268.0,423410.0,56381614.62,412.47
2022-08-20,58312682,,,11175717.13,191.65
2024-09-04,171021351,170322603.0,698748.0,75971713.51,444.22
2022-08-15,63058571,,,40791267.97,646.88
2024-08-07,197284514,196546403.0,738111.0,84997463.96,430.84
2025-03-03,148351491,148114866.0,236625.0,30436077.27,205.16
2024-10-05,199756248,199299371.0,456877.0,36687205.51,183.66
2025-08-21,203232976,202924646.0,308330.0,90529636.92,445.45
2025-11-25,209310475,208693084.0,617391.0,114182835.88,545.52
2020-12-26,2602030,,,842506.54,323.79
2025-04-30,221421203,219957635.0,1463568.0,140937978.95,636.52
2025-12-31,223584149,223003570.0,580579.0,52794278.19,236.13
2021-10-31,19605040,,,3384043.04,172.61
2021-05-24,17919673,,,12887183.91,719.16
2025-09-13,202304142,202158219.0,145923.0,29583566.5,146.23
2021-04-23,15782102,,,11743904.7,744.13
2024-08-30,200133556,195634183.0,4499373.0,112994836.27,564.6
2025-09-19,231143339,230331599.0,811740.0,120664990.88,522.04
2024-09-02,173610231,173226376.0,383855.0,96454013.91,555.58
2022-12-10,77720947,,,16113616.01,207.33
